,,1,,0,,0
,,1,,0,,0
,,2,,0,,0
,,3,,0,,0
,,3,,0,,0
,,3,,0,,0
,,4,,0,,0
,,4,,0,,0
,,4,,0,,0
,,4,,0,,0
,,5,,0,,0
,,5,,0,,0
,,7,,0,,0
,,7,,0,,0
,,7,,0,,0
,,7,,0,,0
,,7,,0,,0
,,7,,0,,0
,,7,,1,,0
,,7,,1,,0
,,8,,1,,0
,,8,,1,,0
,,8,,1,,0
,,8,,1,,0
,,8,,1,,0
,,8,,2,,0
,,9,,3,,0
,,9,,4,,0
,,9,,4,,0
,,10,,4,,0
,,11,,4,,0
,,11,,7,,0
,,12,,7,,0
,,14,,7,,0
,,16,,7,,0
,,20,,7,,0
,,24,,7,,0
,,24,,7,,0
,,33,,7,,0
,,34,,7,,0
,,46,,8,,0
,,54,,8,,0
,,60,,8,,0
,,67,,8,,1
,,86,,9,,1
,,95,,9,,1
,,116,,9,,2
,,156,,9,,2
,,198,,10,,2
,,257,,10,,2
,,341,,10,,2
,,441,,10,,5
,,597,,10,,8
,,727,,11,,9
,,873,,13,,12
,,1087,,15,,13
,,1331,,16,,18
,,1471,,18,,21
,,2091,,112,,24
,,2819,,186,,27
,,3409,,197,,35
,,4043,,228,,39
,,4757,,354,,55
,,5655,,501,,60
,,6320,,585,,62
,,7448,,1114,,89
,,8591,,1297,,101
,,9731,,1667,,111
,,11283,,1971,,138
,,12549,,2323,,187
,,14018,,2735,,233
,,15512,,3100,,280
,,16667,,3616,,323
,,17897,,4050,,381
,,19291,,4653,,435
,,20765,,5039,,505
,,22148,,5905,,569
,,23318,,6663,,653
,,24383,,7185,,717
,,25680,,7771,,780
,,27063,,8247,,903
,,28379,,8992,,1010
,,30106,,9742,,1195
,,31927,,10556,,1310
,,33383,,11220,,1470
,,35056,,11856,,1587
,,36831,,12599,,1690
,,38422,,13201,,1834
,,40190,,13999,,1974
,,42110,,14774,,2147
,,43888,,15554,,2302
,,45354,,16438,,2465
,,46895,,17334,,2560
,,48500,,18281,,2707
,,50026,,19244,,2859
,,51597,,20340,,2996
,,53236,,21437,,3184
,,55061,,22764,,3391
,,56714,,23814,,3566
,,59474,,24921,,3682
,,60772,,26030,,3854
,,62046,,27006,,4043
,,63496,,28184,,4232
,,64922,,29260,,4408
,,66434,,30239,,4569
,,67702,,31262,,4693
,,68848,,32109,,4871
,,69981,,33007,,4993
,,71157,,34055,,5169
,,72278,,35177,,5304
,,73401,,36104,,5472
,,74613,,36908,,5562
,,75864,,37832,,5679
,,77022,,38563,,5782
,,78072,,39251,,5842
,,79112,,40333,,5912
,,80142,,40789,,6031
,,81324,,41728,,6092
,,82480,,42607,,6250
,,83621,,43318,,6355
,,84699,,43998,,6424
,,85711,,44651,,6545
,,86647,,45352,,6639
,,87519,,46177,,6765
,,88512,,46853,,6877
,,89418,,47533,,6979
,,90190,,48116,,7073
,,90947,,48892,,7295
,,91705,,49739,,7327
,,92410,,50357,,7395
,,93085,,51048,,7498
,,93726,,51739,,7637
,,94335,,52568,,7703
,,95057,,52523,,7773
,,95699,,53142,,7800
,,96244,,54833,,7835
,,96652,,55572,,7896
,,97125,,56639,,7960
,,97530,,57658,,7994
,,97943,,58523,,8049
,,98406,,59353,,8107
,,98784,,60272,,8146
,,99147,,61042,,8175
,,99467,,61443,,8213
,,99853,,62017,,8254
,,100220,,62496,,8300
,,100627,,63003,,8346
,,101015,,63488,,8410
,,101333,,63886,,8430
,,101637,,64334,,8436
,,101963,,64704,,8454
,,102242,,65091,,8484
,,102622,,65425,,8504
,,102794,,65726,,8508
,,103028,,65973,,8516
,,103246,,66191,,8522
,,103918,,67178,,8566
,,104204,,67594,,8591
,,104271,,67746,,8615
,,104771,,68347,,8642
,,105090,,68693,,8663
,,105313,,68990,,8674
,,105535,,69239,,8684
,,105934,,69570,,8693
,,106166,,69883,,8711
,,106433,,70247,,8737
,,106803,,70573,,8749
,,107125,,70901,,8759
,,107346,,71266,,8773
,,107589,,71467,,8783
,,108155,,71841,,8790
,,108486,,72170,,8798
,,108827,,72485,,8810
,,109264,,72680,,8827
,,109669,,96689,,8839
,,109998,,96914,,8848
,,110331,,97051,,8852
,,111154,,97474,,8858
,,111697,,97757,,8862
,,112240,,98142,,8870
,,112672,,98519,,8874
,,113206,,98873,,8884
,,113552,,99115,,8888
,,113901,,99355,,8893
,,114597,,99860,,8901
,,114994,,100134,,8911
,,115470,,100465,,8917
,,115799,,100862,,8929
,,116132,,101227,,8935
,,116582,,101436,,8941
,,116864,,101574,,8945
,,117004,,101597,,8947
,,117791,,102450,,8958
,,118187,,102788,,8962
,,118561,,103106,,8966
,,118985,,103435,,8970
,,119221,,103566,,8976
,,119451,,103728,,8979
,,120132,,106354,,8987
,,120421,,106746,,8991
,,120839,,107148,,9006
,,121234,,107553,,9015
,,121652,,107942,,9020
,,121889,,108217,,9024
,,122087,,108484,,9026
,,122872,,109059,,9032
,,123154,,109357,,9045
,,123490,,109822,,9049
,,124372,,110648,,9064
,,124629,,110878,,9071
,,124896,,111112,,9073
,,125647,,111694,,9083
,,125894,,112050,,9090
,,126417,,112375,,9094
,,126848,,112825,,9102
,,127358,,113234,,9108
,,127673,,113501,,9113
,,127940,,113586,,9117
,,128948,,114218,,9126
,,129425,,114607,,9132
,,129923,,115050,,9135
,,130493,,115444,,9141
,,131124,,115926,,9141
,,131495,,116136,,9143
,,131895,,116357,,9145
,,133748,,117565,,9153
,,134294,,118257,,9155
,,134924,,118990,,9163
,,135626,,119674,,9163
,,136141,,120075,,9170
,,136659,,120431,,9171
,,138010,,121224,,9179
,,138803,,121840,,9188
,,139747,,122449,,9193
,,140867,,123073,,9200
,,141911,,487723,,9205
,,142774,,124187,,9211
,,143649,,124691,,9217
,,145415,,125714,,9228
,,146663,,126904,,9234
,,147753,,127788,,9243
,,149094,,128707,,9249
,,150456,,129573,,9255
,,151671,,130328,,9262
,,153125,,131098,,9268
,,155301,,132607,,9278
,,156961,,133737,,9291
,,158758,,134971,,9297
,,160535,,136350,,9319
,,162659,,137614,,9409
,,164471,,138867,,9462
,,166153,,140242,,9481
,,168958,,142333,,9504
,,171323,,143994,,9530
,,173123,,145666,,9541
,,175559,,147508,,9557
,,178117,,149524,,9585
,,180179,,151357,,9608
,,181862,,153219,,9613
,,182837,,154258,,9627
,,186881,,157486,,9654
,,189385,,159351,,9664
,,191729,,161490,,9699
,,192448,,162205,,9708
,,196321,,165446,,9746
,,198148,,167112,,9760
,,201437,,169671,,9778
,,203689,,171743,,9794
,,206360,,173748,,9829
,,209148,,175805,,9862
,,211735,,177879,,9888